City,Lat,Lng,Max Temp,Humidity %,Cloudiness,Wind Speed,Country,Date,Temperature
Marsá Maţrūḩ,31.3525,27.2453,86.2,66,0,13.8,EG,1629552930,86.2
Rikitea,-23.1203,-134.9692,68.5,52,75,17.67,PF,1629552932,68.5
Roald,62.5833,6.1333,62.17,67,20,11.5,NO,1629552933,58.35
Ushuaia,-54.8,-68.3,31.66,69,20,1.14,AR,1629552934,31.66
Port Elizabeth,-33.918,25.5701,64.69,63,40,19.57,ZA,1629552936,64.69
Hong Kong,22.2855,114.1577,87.33,78,100,9.37,HK,1629552860,86.76
Abu Dhabi,24.4667,54.3667,104.11,42,0,12.66,AE,1629552648,102.22
Tiksi,71.6872,128.8694,41.0,96,100,8.81,RU,1629552939,41.0
Bend,44.0582,-121.3153,50.47,78,1,1.01,US,1629552924,45.46
Severo-Kuril'sk,50.6789,156.125,53.56,95,81,5.12,RU,1629552942,53.56
Saint George,37.1041,-113.5841,74.53,39,1,3.0,US,1629552943,73.0
Sarkand,45.41,79.9186,69.28,27,2,4.38,KZ,1629552944,69.28
Barcelona,41.3888,2.159,99.32,67,0,1.99,ES,1629552741,86.41
Ternuvate,47.8305,36.1276,78.28,42,28,13.09,UA,1629552947,78.28
Chui,-33.6971,-53.4616,58.82,54,79,7.67,UY,1629552948,58.82
Poros,37.4994,23.4536,92.61,47,0,9.6,GR,1629552949,89.76
Puerto Escondido,15.85,-97.0667,76.03,78,90,3.44,MX,1629552951,76.03
Inta,66.0317,60.1659,67.15,61,14,9.62,RU,1629552952,67.15
Hofn,64.2539,-15.2082,51.82,71,75,6.91,IS,1629552953,51.82
Rawson,-43.3002,-65.1023,45.88,64,100,20.78,AR,1629552955,45.88
Nekhayevskiy,50.4106,41.7561,77.99,48,91,9.84,RU,1629552956,77.99
Labytnangi,66.6572,66.4183,67.51,57,10,11.79,RU,1629552957,67.51
Bengkulu,-3.8004,102.2655,75.87,91,100,6.82,ID,1629552959,75.87
Saint-Philippe,-21.3585,55.7679,74.75,72,7,9.46,RE,1629552960,72.61
Vao,-22.6667,167.4833,68.2,73,80,15.48,NC,1629552961,68.2
Laas,46.6166,10.7002,78.71,63,53,3.8,IT,1629552963,78.13
Saskylakh,71.9167,114.0833,43.5,91,100,9.57,RU,1629552964,43.5
Faanui,-16.4833,-151.75,78.13,78,12,18.88,PF,1629552965,78.13
Hobart,-42.8794,147.3294,53.26,75,75,1.99,AU,1629552674,51.51
Saldanha,-33.0117,17.9442,60.85,57,1,10.65,ZA,1629552968,60.85
Jamestown,42.097,-79.2353,74.71,78,1,8.05,US,1629552964,72.77
Tura,25.5198,90.2201,74.43,95,84,4.05,IN,1629552970,74.43
Lompoc,34.6391,-120.4579,64.56,86,90,0.0,US,1629552705,60.67
Hualmay,-11.0964,-77.6139,62.24,81,71,6.93,PE,1629552973,62.24
Punta Arenas,-53.15,-70.9167,30.31,86,75,2.3,CL,1629552974,30.31
Barrow,71.2906,-156.7887,46.42,76,90,20.71,US,1629552975,46.42
Kodinsk,58.6881,99.1844,51.33,94,100,4.14,RU,1629552977,51.33
Chara,56.9064,118.2631,54.91,83,98,3.2,RU,1629552978,54.91
Bairiki Village,1.3292,172.9752,82.4,74,75,6.91,KI,1629552979,82.4
Mataura,-46.1927,168.8643,41.49,89,7,4.16,NZ,1629552981,41.49
Quelimane,-17.8786,36.8883,80.55,69,75,12.66,MZ,1629552982,80.55
Pisco,-13.7,-76.2167,61.02,88,90,2.3,PE,1629552983,60.85
Port Alfred,-33.5906,26.891,63.16,58,0,20.04,ZA,1629552985,63.16
Hasaki,35.7333,140.8333,77.4,84,100,12.12,JP,1629552986,77.4
Araouane,18.9048,-3.5265,109.15,10,4,14.63,ML,1629552987,109.15
Moussoro,13.6408,16.4901,97.43,30,89,8.95,TD,1629552989,97.43
Butaritari,3.0707,172.7902,80.08,74,100,17.74,KI,1629552990,80.08
Lumby,50.2498,-118.969,62.73,82,100,1.14,CA,1629552992,57.4
Hongjiang,27.11,109.9956,80.17,78,14,3.47,CN,1629552993,80.17
Nome,64.5011,-165.4064,48.27,82,90,11.5,US,1629552795,48.27
Karīmganj,24.8667,92.35,77.63,94,95,1.92,IN,1629552995,77.63
Sarangani,5.4033,125.4636,82.83,70,100,6.2,PH,1629552997,82.83
Bāfq,31.6128,55.4107,102.79,8,2,7.05,IR,1629552998,102.79
Padina,45.1181,20.7272,92.89,20,6,8.19,RS,1629552999,83.55
Buin,-33.7333,-70.75,55.62,47,100,4.47,CL,1629553001,53.02
Qaanaaq,77.484,-69.3632,38.26,85,100,4.0,GL,1629553002,38.26
Busselton,-33.65,115.3333,53.1,70,99,16.42,AU,1629553003,52.05
Atuona,-9.8,-139.0333,76.84,72,28,17.83,PF,1629553005,76.84
Kununurra,-15.7667,128.7333,71.58,68,0,4.61,AU,1629553006,71.58
Gourcy,13.2167,-2.35,93.97,43,79,6.22,BF,1629553007,93.97
Kargopol',61.5071,38.9456,68.68,42,3,2.62,RU,1629553009,68.68
Kumluca,36.3703,30.2869,90.73,47,2,9.24,TR,1629553010,90.73
San Patricio,28.017,-97.5169,87.66,67,10,10.69,US,1629553011,83.43
Puerto Ayora,-0.7393,-90.3518,68.56,96,98,5.99,EC,1629553013,68.56
Vaini,-21.2,-175.2,69.96,100,75,5.75,TO,1629553014,69.96
Turaif,31.6725,38.6637,104.25,13,0,0.0,SA,1629553015,104.25
Hilo,19.7297,-155.09,72.81,92,14,1.99,US,1629553017,72.25
Cape Town,-33.9258,18.4232,63.01,55,40,7.0,ZA,1629552840,61.88
Harlingen,26.1906,-97.6961,86.9,96,1,3.44,US,1629553019,81.72
Geraldton,-28.7667,114.6,55.81,94,90,5.75,AU,1629553021,55.81
Abu Samrah,35.3029,37.1841,101.68,11,0,7.58,SY,1629553022,101.68
Albany,42.6001,-73.9662,78.8,88,94,2.66,US,1629552837,74.71
Talnakh,69.4865,88.3972,49.82,78,100,13.78,RU,1629553024,49.82
